silent	_RINGER_SILENT
the	O
phone	O
when	O
i	O
am	O
in	O
a	O
meeting	O
change	O
the	O
ringer	O
to	O
general	_RINGER_NORMAL
when	O
i	O
do	O
this	O
turn	O
on	O
the	O
flashlight	_FLASHLIGHT_ON
when	O
i	O
shake	DEVICE_SHAKEN
phone	O
turn	O
off	O
the	O
flashlight	_FLASHLIGHT_OFF
when	O
i	O
put	O
phone	O
on	O
desk	O
wake	O
up	O
phone	O
when	O
i	O
raise	DEVICE_LIFTED
it	O
set	O
phone	O
to	O
vibrate	O
set	O
ringer	O
to	O
normal	_RINGER_NORMAL

read	O
my	O
message	O

silent	_RINGER_SILENT
phone	O
when	O
i	O
am	O
running	INSTANT_ACTIVITY_RUNNING
put	O
phone	O
to	O
silent	_RINGER_SILENT
when	O
i	O
am	O
running	INSTANT_ACTIVITY_RUNNING

quieten	_RINGER_SILENT
phone	O
when	O
i	O
am	O
running	INSTANT_ACTIVITY_RUNNING

put	O
phone	O
to	O
silent	_RINGER_SILENT

can	O
you	O
silent	_RINGER_SILENT
the	O
phone	O

change	O
ringer	O
to	O
silent	_RINGER_SILENT

when	O
i	O
am	O
running	INSTANT_ACTIVITY_RUNNING
change	O
ringer	O
to	O
quiet	_RINGER_SILENT
when	O
i	O
am	O
walking	INSTANT_ACTIVITY_WALKING
put	O
device	O
to	O
silent	_RINGER_SILENT
when	O
i	O
am	O
driving	O
quiten	O
the	O
phone	O
when	O
i	O
am	O
running	INSTANT_ACTIVITY_RUNNING
put	O
the	O
ringer	O
on	O
silent	_RINGER_SILENT
when	O
i	O
am	O
driving	O
switch	O
off	O
the	O
ringer	O
when	O
i	O
am	O
sedentary	O
turn	O
off	O
the	O
ringer	O
when	O
i	O
am	O
cycling	O
set	O
the	O
device	O
to	O
silent	_RINGER_SILENT

when	O
i	O
am	O
running	INSTANT_ACTIVITY_RUNNING
silence	_RINGER_SILENT

don't	O
make	O
a	O
sound	O
when	O
i	O
am	O
walking	INSTANT_ACTIVITY_WALKING

when	O
i	O
am	O
walking	INSTANT_ACTIVITY_WALKING
put	O
phone	O
to	O
silent	_RINGER_SILENT

when	O
i	O
am	O
cycling,	O
put	O
the	O
phone	O
to	O
silent	_RINGER_SILENT
when	O
i	O
am	O
riding	O
my	O
bike,	O
put	O
phone	O
to	O
silent	_RINGER_SILENT
put	O
phone	O
to	O
vibration	O
when	O
i	O
am	O
standing	O
vibrate	O
only	O
set	O
phone	O
to	O
vibration	O
set	O
ringer	O
to	O
vibration	O
vibrate	O
when	O
someone	O
calls	PHONE_CALL_ACTIVE

ring	O
when	O
someone	O
calls	PHONE_CALL_ACTIVE

play	O
ringtone	_RINGER_NORMAL
when	O
someone	O
calls	PHONE_CALL_ACTIVE

when	O
a	O
call	O
is	O
received,	PHONE_CALL_ACTIVE
vibrate	O
turn	O
on	O
the	O
torch	O
when	O
i	O
am	O
running	INSTANT_ACTIVITY_RUNNING
when	O
i	O
drive,	O
turn	O
the	O
flashlight	_FLASHLIGHT_ON
on	O

turn	O
on	O
the	O
flashlight	_FLASHLIGHT_ON
when	O
its	O
dark	LIGHT_DARK

turn	O
on	O
the	O
torch	_FLASHLIGHT_ON

turn	O
on	O
the	O
flashlight	_FLASHLIGHT_ON
when	O
its	O
dark	LIGHT_DARK
and	O
the	O
phone	O
is	O
faced	O
down	O

turn	O
on	O
the	O
flash	_FLASHLIGHT_ON

set	O
flashlight	_FLASHLIGHT_ON
state	O
to	O
on	O

set	O
flashlight	_FLASHLIGHT_OFF
state	O
to	O
off	O

turn	O
off	O
the	O
flashlight	_FLASHLIGHT_OFF

turn	O
